בישול,,,,,,,,,,,,
material,פחם,מלח,זכוכית וולקנית,כסף,שרף,אצות גביש,קורי עכביש המעמקים,טחב המערות,טופר חתול,לוטוס נהרות,אספסת הכתרים,חשופית השממה
פחם,,,,,,,,,,,,
מלח,נטרול,,,,,,,,,,,
זכוכית וולקנית,כאב,משתק,,,,,,,,,,
כסף,זכרון,מכפיל,עמידות לקסם,,,,,,,,,
שרף,רעיל,מנטרל רעלים,פחד,חסכוני,,,,,,,,
אצות גביש,מעורר נשמה,מגביר רגשות,מעכב החלמה,עמידות לקסם,שכחנות,,,,,,,
קורי עכביש המעמקים,מאריך משך,דביק,משתק,מנטרל רעלים,מחליש פיזית,מרדים,,,,,,
טחב המערות,מעורר זכרון,טעם של עוף,אגרסיביות,מחזק פיזית,מבטל השפעות,אופוריה,חסכוני,,,,,
טופר חתול,מנטרל רעלים,מחטא,מסריח,רעיל,לא פעיל,מגביר רגשות,נוח להשפעה,מאיץ ריפוי,,,,
לוטוס נהרות,שכחנות,פיצוץ,ממריץ,עילפון,מרדים,ריק,ריק,ריק,ריק,,,
אספסת הכתרים,מחזק פיזית,אופוריה,מגביר רגשות,נוח להשפעה,מעורר הזיות,ריק,ריק,ריק,ריק,מבטל עכבות,,
חשופית השממה,מעורר נשמה,מיקוד,מחליש פיזית,חיבור קוסמי,מעצים,ריק,ריק,ריק,ריק,מחזק סיבולת,מאריך משך,
,,,,,,,,,,,,
ייבוש וכתישה,,,,,,,,,,,,
material,פחם,מלח,זכוכית וולקנית,כסף,שרף,אצות גביש,קורי עכביש המעמקים,טחב המערות,טופר חתול,לוטוס נהרות,אספסת הכתרים,חשופית השממה
פחם,,לא פעיל,מעצים,מעורר נשמה,מיקוד,מגביר רגישות,מבטל השפעה,שכחנות,פיצוץ,ממכר,נוח להשפעה,מאריך משך
מלח,,,מבטל עכבות,חסכוני,חיבור קוסמי,מרדים,לא פעיל,ממכר,מנטרל השפעה קוסמית,חוסר שליטה,עמידות לקסם,הקסמה
זכוכית וולקנית,,,,נטרול,מאט,נוגדן אלכימי,מחזק סיבולת,מחזק פיזית,לא פעיל,אופוריה,מחזק פיזית,מכפיל
כסף,,,,,מחליש פיזית,עילפון,רעיל,מאיץ החלמה,משתק,מעכב החלמה,אגרסיביות,סנוור
שרף,,,,,,מגביר קסם,ממריץ,מרגיע,דביק,זכרון,משתק,חסכוני
אצות גביש,,,,,,,מעורר הזיות,מבטל עכבות,מנתק נשמה,ריק,ריק,ריק
קורי עכביש המעמקים,,,,,,,,מחזק מנטלי,חיבור קוסמי,ריק,ריק,ריק
טחב המערות,,,,,,,,,מעצים,ריק,ריק,ריק
טופר חתול,,,,,,,,,,ריק,ריק,ריק
לוטוס נהרות,,,,,,,,,,,שכחנות,מעורר זעם
אספסת הכתרים,,,,,,,,,,,,עילפון
חשופית השממה,,,,,,,,,,,,
,,,,,,,,,,,,
התססה,,,,,,,,,,,,
material,פחם,מלח,זכוכית וולקנית,כסף,שרף,אצות גביש,קורי עכביש המעמקים,טחב המערות,טופר חתול,לוטוס נהרות,אספסת הכתרים,חשופית השממה
פחם,,,,,,,,,,,,
מלח,מעצים,,,,,,,,,,,
זכוכית וולקנית,חסכוני,רעיל,,,,,,,,,,
כסף,חיבור קוסמי,מנטרל רעלים,חוסר שליטה,,,,,,,,,
שרף,שכחנות,פיצוץ,מאריך משך,לא פעיל,,,,,,,,
אצות גביש,מעורר הזיות,מבטל עכבות,מעורר זעם,משכך כאבים,מאריך משך,,,,,,,
קורי עכביש המעמקים,פיצוץ,מיקוד,מכפיל,מעכב החלמה,ממכר,מחזק מנטאלית,,,,,,
טחב המערות,מחליש פיזית,מלנכוליה,אד רעיל,מיקוד,מחזק,עמידות לקסם,משכר,,,,,
טופר חתול,מעורר  זיכרון,טשטוש,מחזק מנטאלית,מאט,רעיל,מעורר נשמה,מרגיע,מחזק,,,,
לוטוס נהרות,משתק,מחזק סיבולת,מעכב החלמה,מעורר הזיות,כאב,ריק,ריק,ריק,ריק,,,
אספסת הכתרים,מאט,סנוור,מעורר זעם,ממריץ,מכפיל,ריק,ריק,ריק,ריק,מעורר נשמה,,
חשופית השממה,מחזק פיזית,ממכר,נטרול,מגביר רגשות,מבטל עכבות,ריק,ריק,ריק,ריק,מרדים,אופוריה,
,,,,,,,,,,,,
חליטה,,,,,,,,,,,,
material,פחם,מלח,זכוכית וולקנית,כסף,שרף,אצות גביש,קורי עכביש המעמקים,טחב המערות,טופר חתול,לוטוס נהרות,אספסת הכתרים,חשופית השממה
פחם,,חסכוני,פאראנויה,מנטרל רעלים,מעכב החלמה,אופוריה,חסכוני,מרדים,אנטגוניזם,הקסמה,שכחנות,מעכב החלמה
מלח,,,מרדים,ממכר,מאט,כנות,מאט,מגביר רגשות,לא פעיל,אופוריה,נוח להשפעה,מאט
זכוכית וולקנית,,,,רעיל,עילפון,טשטוש,כאב,מעצים,חסכוני,חוסר שליטה,מעורר נשמה,עילפון
כסף,,,,,מיקוד,פחד,מגביר השפעה,חלום,שכחנות,מחליש פיזית,ממריץ,מיקוד
שרף,,,,,,מגביר זיכרון,אגרסיביות,קורוסיבי,מעורר,לא פעיל,מגביר רגשות,חיבור קוסמי
אצות גביש,,,,,,,נוח להשפעה,מעורר נשמה,חלום,ריק,ריק,ריק
קורי עכביש המעמקים,,,,,,,,עלפון,אפתיה,ריק,ריק,ריק
טחב המערות,,,,,,,,,מחזק כוח רצון,ריק,ריק,ריק
טופר חתול,,,,,,,,,,ריק,ריק,ריק
לוטוס נהרות,,,,,,,,,,,אגרסיביות,עמידות לקסם
אספסת הכתרים,,,,,,,,,,,,פחד
חשופית השממה,,,,,,,,,,,,
